age,type_employer,fnlwgt,education,marital,occupation,race,sex,hr_per_week,country,income
30,Private,154568,Bachelors,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,36,Vietnam,>50K
33,?,152875,Bachelors,Married-civ-spouse,?,Asian-Pac-Islander,Female,40,China,<=50K
43,Private,173728,Bachelors,Separated,Prof-specialty,White,Female,40,United-States,<=50K
42,Local-gov,100793,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K
48,State-gov,212954,Masters,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
33,Self-emp-inc,201763,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
47,Private,72880,Masters,Never-married,Prof-specialty,White,Female,40,United-States,<=50K
25,Private,38090,Bachelors,Never-married,Sales,White,Male,44,United-States,<=50K
37,Private,105021,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
36,Private,177907,Bachelors,Never-married,Other-service,White,Male,20,?,<=50K
38,Private,154568,Masters,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,40,?,<=50K
57,Private,180779,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
29,Private,67218,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
41,Local-gov,67671,Masters,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,<=50K
38,Local-gov,172855,Bachelors,Married-civ-spouse,Prof-specialty,Black,Female,40,United-States,>50K
28,State-gov,52636,Masters,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,<=50K
45,Self-emp-not-inc,225456,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
29,Local-gov,289991,Masters,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,<=50K
32,?,119522,Bachelors,Divorced,?,White,Male,50,United-States,<=50K
33,Private,144064,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,<=50K
40,Local-gov,243580,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,48,United-States,<=50K
41,Self-emp-inc,32185,Bachelors,Married-civ-spouse,Tech-support,White,Male,40,United-States,<=50K
46,Federal-gov,33794,Bachelors,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
37,Private,308691,Bachelors,Married-civ-spouse,Craft-repair,White,Male,45,United-States,>50K
58,Private,197319,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
29,Private,201017,Masters,Never-married,Prof-specialty,White,Male,55,Scotland,<=50K
44,Federal-gov,38434,Masters,Never-married,Prof-specialty,White,Female,40,United-States,<=50K
44,Federal-gov,38434,Bachelors,Widowed,Exec-managerial,White,Female,40,United-States,>50K
46,Private,102569,Masters,Married-civ-spouse,Exec-managerial,White,Male,65,United-States,>50K
67,?,45537,Masters,Married-civ-spouse,?,Black,Male,40,United-States,>50K
46,Private,154430,Masters,Divorced,Exec-managerial,White,Female,50,United-States,>50K
36,State-gov,112497,Bachelors,Divorced,Prof-specialty,White,Male,44,United-States,<=50K
49,Private,268090,Bachelors,Married-civ-spouse,Sales,White,Male,26,United-States,>50K
36,Private,176634,Bachelors,Married-civ-spouse,Sales,White,Female,35,United-States,>50K
43,Private,226902,Bachelors,Divorced,Machine-op-inspct,White,Male,40,United-States,<=50K
47,Private,168232,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K
52,Private,236497,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,48,United-States,>50K
45,Self-emp-inc,108100,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,25,?,>50K
42,State-gov,345969,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,48,United-States,>50K
27,Federal-gov,47907,Bachelors,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
33,Self-emp-not-inc,235271,Bachelors,Divorced,Sales,White,Male,50,United-States,>50K
41,Private,445382,Masters,Married-civ-spouse,Exec-managerial,White,Male,65,United-States,>50K
39,?,157443,Masters,Married-civ-spouse,?,Asian-Pac-Islander,Female,40,?,<=50K
51,Private,221672,Masters,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
60,Private,317083,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
52,Federal-gov,290856,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
45,Private,249935,Bachelors,Married-civ-spouse,Farming-fishing,White,Male,60,United-States,<=50K
38,Private,240467,Masters,Never-married,Exec-managerial,Black,Female,35,United-States,<=50K
43,Private,260696,Bachelors,Divorced,Exec-managerial,White,Female,40,United-States,<=50K
26,Private,147821,Bachelors,Never-married,Sales,White,Female,45,?,<=50K
33,Private,236396,Bachelors,Married-civ-spouse,Sales,White,Male,55,United-States,>50K
31,Private,139753,Bachelors,Married-spouse-absent,Adm-clerical,White,Female,40,United-States,<=50K
47,Self-emp-not-inc,208407,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,30,United-States,<=50K
31,Private,162572,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,<=50K
27,Private,118230,Bachelors,Never-married,Exec-managerial,White,Female,40,United-States,<=50K
71,Self-emp-not-inc,143437,Masters,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
46,Private,268022,Bachelors,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
26,Local-gov,80485,Bachelors,Never-married,Prof-specialty,White,Female,38,United-States,<=50K
26,Private,59306,Bachelors,Never-married,Sales,White,Male,40,United-States,<=50K
30,Private,118551,Bachelors,Married-civ-spouse,Tech-support,White,Female,16,United-States,>50K
35,Private,223514,Bachelors,Married-civ-spouse,Adm-clerical,Black,Female,40,United-States,<=50K
45,Private,262802,Bachelors,Divorced,Exec-managerial,White,Female,40,United-States,<=50K
41,Private,146659,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,70,United-States,<=50K
29,Private,233168,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,46,United-States,>50K
66,Self-emp-not-inc,97847,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,<=50K
28,Private,51461,Masters,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,<=50K
58,Local-gov,34878,Bachelors,Divorced,Prof-specialty,White,Female,50,United-States,<=50K
39,Private,167140,Masters,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,<=50K
26,Local-gov,104614,Bachelors,Never-married,Prof-specialty,White,Female,40,United-States,<=50K
37,Private,40955,Bachelors,Never-married,Prof-specialty,White,Male,30,United-States,<=50K
34,Private,150324,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
31,Private,156743,Masters,Married-civ-spouse,Sales,White,Male,76,United-States,>50K
41,Private,57233,Bachelors,Married-civ-spouse,Sales,White,Male,70,United-States,<=50K
43,Private,187795,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
26,Private,341353,Bachelors,Never-married,Other-service,White,Male,15,United-States,<=50K
46,Private,251474,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K
26,State-gov,180886,Masters,Married-civ-spouse,Prof-specialty,White,Male,30,United-States,<=50K
25,?,335376,Bachelors,Never-married,?,White,Female,30,United-States,<=50K
41,Private,163322,Bachelors,Divorced,Tech-support,White,Female,30,?,<=50K
35,Private,81232,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
51,Private,146574,Masters,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
35,Private,184117,Bachelors,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
39,Private,179731,Masters,Married-civ-spouse,Exec-managerial,White,Female,65,United-States,>50K
39,Private,316211,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,>50K
46,Private,213140,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,?,>50K
34,Local-gov,230420,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
32,Private,239824,Bachelors,Never-married,Tech-support,White,Male,40,United-States,<=50K
43,Private,111895,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
50,Self-emp-not-inc,68898,Masters,Married-civ-spouse,Sales,White,Male,55,United-States,>50K
33,Private,176711,Bachelors,Married-civ-spouse,Farming-fishing,White,Male,40,England,<=50K
39,?,201105,Bachelors,Married-civ-spouse,?,White,Female,30,United-States,<=50K
34,Private,101345,Bachelors,Married-civ-spouse,Sales,White,Female,40,United-States,>50K
35,Self-emp-not-inc,372525,Bachelors,Never-married,Exec-managerial,White,Male,40,United-States,<=50K
31,Private,150309,Bachelors,Separated,Exec-managerial,White,Female,70,United-States,<=50K
36,Private,136343,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
42,Private,54202,Bachelors,Never-married,Sales,White,Male,50,United-States,>50K
36,Private,131239,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,>50K
24,Federal-gov,44075,Bachelors,Never-married,Prof-specialty,Asian-Pac-Islander,Male,40,United-States,<=50K
25,Local-gov,191921,Bachelors,Never-married,Craft-repair,White,Male,25,United-States,<=50K
25,Private,193820,Masters,Never-married,Prof-specialty,White,Female,35,United-States,<=50K
50,State-gov,103063,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
55,Federal-gov,88876,Masters,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,60,United-States,>50K
29,Private,106179,Bachelors,Never-married,Adm-clerical,White,Female,35,Canada,<=50K
33,Private,36539,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,>50K
35,Private,108293,Bachelors,Widowed,Prof-specialty,White,Female,32,United-States,>50K
42,Local-gov,109684,Masters,Never-married,Prof-specialty,White,Female,35,United-States,<=50K
42,Private,240628,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,>50K
24,Local-gov,103277,Bachelors,Never-married,Prof-specialty,White,Female,50,United-States,<=50K
69,?,167826,Bachelors,Married-civ-spouse,?,White,Male,40,United-States,<=50K
28,Private,274679,Masters,Never-married,Prof-specialty,White,Male,50,United-States,<=50K
36,Private,408229,Bachelors,Never-married,Prof-specialty,White,Female,32,United-States,<=50K
32,State-gov,169973,Masters,Never-married,Adm-clerical,White,Female,38,United-States,<=50K
49,Local-gov,184428,Masters,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,<=50K
44,State-gov,98989,Bachelors,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Male,38,United-States,>50K
47,Private,606752,Masters,Divorced,Tech-support,White,Male,40,United-States,<=50K
22,Private,194630,Bachelors,Never-married,Sales,White,Male,45,United-States,<=50K
35,Private,99357,Masters,Married-civ-spouse,Prof-specialty,White,Female,50,United-States,>50K
49,Local-gov,78859,Masters,Widowed,Prof-specialty,White,Female,20,United-States,<=50K
52,Self-emp-inc,51048,Bachelors,Married-civ-spouse,Sales,White,Male,55,United-States,<=50K
42,Local-gov,227065,Masters,Never-married,Prof-specialty,White,Male,22,United-States,<=50K
46,Private,192963,Bachelors,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,35,Philippines,>50K
30,Private,252752,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,<=50K
37,Private,99146,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
22,Private,117779,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,<=50K
30,?,186420,Bachelors,Never-married,?,White,Female,40,United-States,<=50K
43,Self-emp-not-inc,396758,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,70,United-States,>50K
60,State-gov,152711,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
35,Private,385412,Bachelors,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
37,Private,86150,Bachelors,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,30,United-States,>50K
22,Private,103762,Bachelors,Never-married,Exec-managerial,White,Female,40,United-States,<=50K
39,Self-emp-inc,189092,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,<=50K
42,Private,182108,Bachelors,Never-married,Exec-managerial,White,Female,35,United-States,<=50K
35,Private,475324,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,<=50K
67,Self-emp-not-inc,173935,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,8,United-States,>50K
39,Self-emp-not-inc,191342,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,50,South,<=50K
47,Self-emp-inc,332355,Masters,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
23,Private,37072,Bachelors,Never-married,Sales,White,Male,50,United-States,<=50K
38,Private,335104,Bachelors,Divorced,Prof-specialty,White,Female,35,United-States,<=50K
54,Private,457237,Masters,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K
58,Private,220789,Bachelors,Divorced,Transport-moving,White,Male,45,United-States,<=50K
36,Private,163278,Masters,Never-married,Prof-specialty,White,Female,40,United-States,<=50K
39,Private,280570,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
35,Private,148015,Bachelors,Never-married,Sales,Black,Female,40,United-States,<=50K
47,Local-gov,198660,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
38,Private,278557,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
39,Private,103456,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,45,United-States,>50K
23,Private,398904,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,<=50K
42,Private,118947,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
45,Private,261278,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Female,40,Philippines,>50K
52,Federal-gov,30731,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
39,Private,216256,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,60,Italy,>50K
40,State-gov,184378,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,<=50K
45,Private,77927,Bachelors,Widowed,Other-service,Asian-Pac-Islander,Female,40,Philippines,<=50K
34,Private,190385,Masters,Never-married,Prof-specialty,White,Female,40,United-States,>50K
25,Private,193701,Bachelors,Never-married,Other-service,White,Female,38,United-States,<=50K
25,Private,178478,Bachelors,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
35,Private,117166,Bachelors,Never-married,Exec-managerial,White,Male,50,United-States,<=50K
23,Private,203078,Bachelors,Never-married,Adm-clerical,Black,Male,24,United-States,<=50K
26,Private,245029,Bachelors,Never-married,Adm-clerical,Black,Female,40,United-States,<=50K
39,Private,165235,Bachelors,Separated,Prof-specialty,Asian-Pac-Islander,Female,40,Philippines,>50K
33,Local-gov,183923,Masters,Married-civ-spouse,Prof-specialty,White,Female,35,United-States,>50K
57,Private,170287,Masters,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
37,Private,259089,Bachelors,Divorced,Exec-managerial,White,Male,40,United-States,<=50K
38,Private,292307,Bachelors,Married-spouse-absent,Craft-repair,Black,Male,40,Dominican-Republic,<=50K
41,Private,57233,Bachelors,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K
51,Private,259323,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
67,Local-gov,191800,Bachelors,Divorced,Adm-clerical,Black,Female,35,United-States,<=50K
60,Local-gov,259803,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,45,United-States,>50K
33,Private,578701,Bachelors,Married-civ-spouse,Exec-managerial,Black,Male,40,?,<=50K
57,Private,176079,Masters,Divorced,Prof-specialty,White,Female,40,United-States,<=50K
41,State-gov,27305,Masters,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
28,Federal-gov,298661,Bachelors,Never-married,Tech-support,Black,Female,40,United-States,<=50K
22,Private,615367,Bachelors,Never-married,Sales,White,Female,60,United-States,<=50K
55,Private,98361,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,55,United-States,>50K
55,Private,381965,Bachelors,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K
50,Private,135465,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
48,Private,38950,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
42,Local-gov,267252,Masters,Separated,Exec-managerial,Black,Male,45,United-States,>50K
41,Private,394669,Bachelors,Never-married,Prof-specialty,White,Female,40,United-States,<=50K
21,Private,143582,Bachelors,Never-married,Prof-specialty,Asian-Pac-Islander,Female,45,United-States,<=50K
24,Private,155913,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,44,United-States,<=50K
40,Private,209547,Bachelors,Married-civ-spouse,Sales,White,Male,60,United-States,>50K
32,Private,175856,Bachelors,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
42,Private,170230,Bachelors,Divorced,Exec-managerial,White,Female,55,United-States,>50K
51,Private,123429,Masters,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
52,Private,180195,Bachelors,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
25,Private,202091,Masters,Never-married,Prof-specialty,White,Female,60,United-States,<=50K
52,Private,256861,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,<=50K
40,Private,214010,Bachelors,Never-married,Other-service,White,Male,37,United-States,<=50K
57,Private,132704,Masters,Separated,Prof-specialty,White,Male,32,United-States,>50K
46,Private,197332,Masters,Married-civ-spouse,Prof-specialty,White,Male,46,United-States,>50K
37,Local-gov,218184,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
46,State-gov,178686,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,38,United-States,>50K
41,Local-gov,144995,Masters,Married-civ-spouse,Exec-managerial,White,Male,55,United-States,<=50K
48,Private,254291,Masters,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
38,Private,180342,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,<=50K
34,Private,108116,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
37,Private,103121,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,>50K
41,Private,195124,Masters,Never-married,Exec-managerial,White,Male,35,Dominican-Republic,<=50K
63,?,257659,Masters,Never-married,?,White,Female,3,United-States,<=50K
30,Private,103649,Bachelors,Married-civ-spouse,Adm-clerical,Black,Female,40,United-States,>50K
31,Private,467579,Bachelors,Married-civ-spouse,Exec-managerial,Black,Male,40,United-States,>50K
28,Private,421967,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,60,United-States,>50K
29,Private,190539,Bachelors,Never-married,Exec-managerial,White,Male,50,United-States,<=50K
32,Private,324386,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,<=50K
31,Federal-gov,139455,Bachelors,Never-married,Exec-managerial,White,Female,40,Cuba,<=50K
50,Local-gov,30682,Masters,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,<=50K
49,Private,123681,Masters,Married-civ-spouse,Prof-specialty,White,Male,43,United-States,>50K
66,Private,115498,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,55,?,>50K
28,Self-emp-not-inc,240172,Masters,Never-married,Prof-specialty,White,Male,40,United-States,<=50K
36,Self-emp-not-inc,67728,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
27,Private,164170,Bachelors,Never-married,Tech-support,Asian-Pac-Islander,Female,20,Philippines,<=50K
50,Private,128143,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
24,Private,53942,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,<=50K
27,?,61387,Bachelors,Married-civ-spouse,?,White,Male,15,United-States,<=50K
35,Private,206951,Masters,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
43,Private,214781,Masters,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
41,State-gov,100800,Masters,Divorced,Prof-specialty,White,Male,35,United-States,<=50K
28,Federal-gov,381789,Bachelors,Never-married,Prof-specialty,White,Male,50,United-States,<=50K
31,State-gov,193565,Masters,Never-married,Tech-support,White,Male,40,United-States,<=50K
50,Private,133963,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
60,Private,43235,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
24,Private,194604,Bachelors,Never-married,Sales,White,Female,15,United-States,<=50K
46,Private,122026,Bachelors,Married-civ-spouse,Craft-repair,White,Male,44,United-States,>50K
28,Private,119287,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,28,United-States,>50K
31,Local-gov,33124,Bachelors,Never-married,Prof-specialty,White,Female,50,United-States,<=50K
41,Private,350387,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,>50K
41,Private,237452,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,15,Cuba,>50K
46,Federal-gov,341762,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,>50K
60,Private,173960,Bachelors,Divorced,Prof-specialty,White,Female,42,United-States,<=50K
55,Private,151474,Bachelors,Never-married,Tech-support,White,Female,38,United-States,<=50K
23,Private,194096,Bachelors,Never-married,Exec-managerial,White,Female,40,United-States,<=50K
68,?,40956,Bachelors,Married-civ-spouse,?,White,Male,25,United-States,<=50K
46,Private,330087,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
50,Self-emp-not-inc,334273,Bachelors,Married-civ-spouse,Sales,White,Male,8,United-States,<=50K
34,State-gov,85218,Masters,Never-married,Prof-specialty,Black,Female,24,United-States,<=50K
48,Private,379883,Masters,Married-civ-spouse,Prof-specialty,White,Male,40,Cuba,>50K
26,Local-gov,27834,Bachelors,Never-married,Protective-serv,White,Male,40,United-States,<=50K
26,Private,37202,Bachelors,Never-married,Prof-specialty,White,Female,45,United-States,<=50K
36,Private,269722,Masters,Married-civ-spouse,Other-service,White,Male,40,United-States,<=50K
23,Private,250630,Bachelors,Never-married,Sales,White,Female,40,United-States,<=50K
53,Private,424079,Masters,Married-civ-spouse,Exec-managerial,White,Male,55,United-States,>50K
51,Local-gov,176751,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
30,Private,349148,Bachelors,Never-married,Prof-specialty,White,Male,70,United-States,<=50K
60,?,386261,Bachelors,Married-spouse-absent,?,Black,Female,15,United-States,<=50K
36,Private,130620,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Female,35,Philippines,>50K
53,Private,22978,Masters,Married-civ-spouse,Exec-managerial,White,Female,50,United-States,>50K
39,Private,198841,Masters,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,>50K
30,Private,24292,Bachelors,Married-civ-spouse,Sales,White,Male,45,United-States,>50K
43,Private,198330,Masters,Widowed,Prof-specialty,Black,Female,37,United-States,<=50K
23,Private,102942,Bachelors,Never-married,Prof-specialty,White,Female,40,United-States,>50K
38,Private,172571,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,54,United-States,>50K
56,Self-emp-not-inc,356067,Masters,Never-married,Sales,White,Male,16,United-States,<=50K
69,?,254834,Bachelors,Married-civ-spouse,?,White,Male,10,United-States,>50K
39,Private,77146,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
44,Private,145441,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,48,United-States,>50K
32,Private,362259,Bachelors,Never-married,Exec-managerial,White,Female,40,United-States,<=50K
50,Local-gov,183390,Bachelors,Separated,Prof-specialty,White,Male,40,United-States,>50K
54,Local-gov,54377,Masters,Divorced,Prof-specialty,White,Female,40,United-States,<=50K
44,Local-gov,162506,Masters,Married-civ-spouse,Prof-specialty,White,Male,35,United-States,<=50K
