pca,building,training,part,clause,circuit,fuzzy,tangent,analog,letter,light,concept,pyramid,wavelet,net,set,data,potential,star,chess,estimator,oscillator,instruction,component,chip,option,pattern,rotation,belief,map,tree,delay,spike,eeg,rule,rules,expert,block,user,loss,document,subscriber,memory,lesion,call,signal,solution,view,stress,distance,evidence,policy,perceptron,direction,song,saliency,control,error,kernel,system,digit,disparity,controller,target,dialogue,field,noise,hand,routing,road,input,motion,character,algorithm,neuron,operator,unit,neural,hint,motor,weight,object,function,item,speaker,channel,point,model,classifier,action,iiii,attractor,head,context,task,skill,word,network,cell,learning
0,0,19,0,0,0,0,1,0,0,0,0,0,0,12,7,12,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,16,0,18,0,0,0,0,0,0,2,0,0,0,22,0,0,35,0,0,1,4,0,0,19,0,3,0,0,0,1,2,0,0,0,0,0,1,0,0,0,13,0,1
0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,3,0,0,4,10,0,9,5,0,0,0,0,4,14,1,0,0,27,0,1,2,0,0,50,0,0,0,20,0,15,0,0,0,7,0,0,0,0,0,0,0,4,0,0,25,0,13
0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,13,0,1,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,18,2,0,0,2,0,0,0,0,0,0,0,31,0,10,0,0,0,8,0,0,1,1,0,0,13,0,0,16,0,0,57,8,0,0,13,0,21,0,0,0,61,2,0,1,0,0,0,0,2,0,0,73,0,43
0,0,31,0,0,0,0,0,0,0,0,0,0,0,4,21,3,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,14,13,0,0,11,0,22,0,0,0,2,1,0,0,0,0,0,1,2,0,0,50,0,7
0,0,21,1,0,0,0,0,0,0,0,1,0,0,4,6,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,16,0,4,0,0,0,2,0,0,0,2,0,0,6,0,0,7,44,0,8,10,0,0,21,0,10,0,0,0,2,11,0,0,0,0,0,0,0,0,0,19,0,23
0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,5,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,11,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,26,1,0,0,30,0,11,0,1,0,1,2,0,0,0,0,0,0,2,0,0,20,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,1,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,4,23,0,0,0,45,0,1,3,1,0,1,1,0,0,4,0,10,0,0,4,2,36,0,0,0,0,0,1,0,0,0,6,43,0
0,0,17,0,0,0,0,0,0,0,1,1,0,0,66,9,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,27,18,0,0,6,0,0,0,1,0,0,6,0,0,0,0,0,0,23,0,3,56,0,22
0,0,6,1,0,0,0,0,0,7,0,0,0,0,0,11,6,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,7,1,0,0,0,1,0,0,1,0,0,2,10,0,11,5,0,0,0,0,0,3,0,0,0,12,0,0,2,0,0,15,10,0,0,1,0,1,0,14,2,0,19,0,0,0,0,3,1,8,0,4,21,6,12
0,0,9,0,0,1,0,0,5,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,3,5,0,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,18,0,0,0,12,0,0,0,0,0,0,32,0,1,12,2,0,28,20,0,0,4,0,4,1,0,0,3,3,0,0,0,0,0,0,0,0,2,28,0,35
0,0,11,3,0,0,0,0,0,1,0,0,0,0,2,9,9,0,0,0,0,0,0,0,0,0,10,0,0,0,1,27,0,0,0,0,0,1,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,9,0,0,5,2,0,18,0,0,0,0,0,4,0,0,0,0,37,7,0,2,0,0,9,2,0,1,4,0,5,0,0,0,0,14,0,0,0,0,0,1,0,0,0,41,3,7
0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,5,22,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,6,26,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,6,0,29,0,0,0,0,0,0,0,0,0,0,14,0,0,2,1,0,14,3,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,29,0,7
0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,18,23,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,23,26,7,0,3,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1,0,3,0,0,12,0,0,9,2,0,8,7,0,1,8,0,8,1,0,0,0,27,1,0,0,0,0,0,2,0,0,22,0,13
0,0,10,0,0,1,0,0,0,0,2,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5,5,0,0,18,0,0,0,0,1,0,0,0,4,0,1,0,0,19,0,1,1,0,0,10,0,4
0,0,5,2,0,0,0,0,0,0,1,0,0,0,42,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,37,1,0,1,0,0,0,43,2,0,0,0,0,0,2,0,0,0,0,26,0,19,0,0,0,0,0,0,8,0,0,0,3,0,0,8,0,0,1,46,0,0,1,0,2,0,0,19,0,1,2,0,0,0,0,0,0,0,0,14,0,1
0,0,11,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,12,0,0,0,0,0,0,14,0,0,0,3,0,0,12,0,0,0,1,0,0,6,3,0,4,30,0,0,0,4,0,0,0,0,0,7,24,1,0,0,0,0,0,0,0,30,0,5
0,1,0,1,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4,0,0,0,0,0,10,0,0,0,0,18,26,0,3,0,0,0,14,0,0,0,2,7,0,0,0,9,0,0,0,0,0,0,0,3,0,0,19,2,2
0,0,15,1,0,0,0,0,0,0,1,0,0,0,2,7,9,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0,0,1,0,0,10,2,0,0,0,0,3,3,2,0,91,17,0,1,4,0,1,57,22,0,0,27,0,0,0,0,0,2,2,0,0,0,0,1,0,7,0,0,58,0,2
0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,74,0,0,0,0,0,1,0,36,0,0,4,0,0,0,0,0,0,1,0,0,1,1,0,8,0,0,2,2,8,0,9,0,0,0,1,0,0,4,1,0,38,0,0,0,0,0,11,8,0,0,0,1,0,0,11,7,0,0,36,0,0,2,0,3,0,0,0,3,5,0,0,0,0,0,0,6,0,1,15,0,0
0,0,3,2,0,1,0,0,3,0,1,0,0,0,4,3,8,1,0,0,0,0,0,0,6,0,7,2,0,7,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,20,0,0,0,0,1,5,14,0,0,3,0,10,4,0,0,2,16,0,0,2,1,1,0,0,0,2,1,3,0,0,0,0,0,12,0,0,23,0,5
0,1,18,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,2,0,3,0,0,15,0,32,2,0,0,17,14,0,0,9,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,2,37,0,10
0,0,9,0,0,0,0,0,0,1,0,0,0,0,4,11,3,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,0,0,3,0,0,0,1,0,0,15,1,5,3,20,0,3,6,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,1,36,0,5
0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,12,0,0,9,0,0,2,13,0,14,0,11,0,0,1,8,0,4,4,0,14,5,0,10,1,0,2,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,11
0,1,11,4,0,0,0,0,0,0,0,0,0,0,1,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,3,0,0,3,1,0,0,1,0,0,0,6,0,0,0,1,0,17,10,0,1,15,0,7,0,0,0,3,11,0,0,0,0,0,0,0,0,0,31,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,1,0,0,18,0,0,0,0,1,1,3,0,0,5,0,19,0,0,0,6,27,0,0,0,0,0,0,0,0,0,2,14,1
0,2,0,2,0,40,0,0,6,0,0,0,0,0,0,5,1,4,0,0,0,0,0,1,2,0,21,0,0,0,0,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,7,1,0,0,38,0,0,15,0,5,0,0,3,0,0,1,0,25,0,3,0,0,0,0,0,0,0,33,42,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,11,0,0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,59,0,0,1,13,0,0,4,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,4,10,1
0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,20,0,3,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,1,0,2,3,0,0,0,37,1,0,0,1,0,1,1,0,0,0,0,3,0,0,0,7,20,1,1,0,0,0,0,0,0,0,0,39,0
0,0,3,1,0,0,0,0,2,0,6,0,0,0,0,3,12,0,0,0,11,1,0,3,0,0,8,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,2,0,0,2,0,0,27,1,0,26,0,0,0,5,0,0,3,1,0,0,7,2,0,0,1,0,0,14,0,7,0,1,18,0,0,2,4,24,0,0,0,0,34,6,4,1,0,8,0,3
0,0,2,1,0,4,0,0,0,0,45,0,0,0,1,0,1,53,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,1,0,0,0,0,0,16,0,0,8,0,0,0,0,0,0,1,0,0,0,17,0,0,1,36,0,0,14,0,0,0,0,4,0,0,0,1,34,0,0,0,0,0,0,0,0,0,20,77,34
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,12,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,1,0,0,31,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,2,0,0,1,0,0,0,5,0,0,4,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,7,0,0,32,1,0,0,0,0,0,2,10,0,0,7,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,3,0,0,8,0,0,2,7,0,0,2,0,3,0,0,0,12,2,0,0,0,15,0,0,0,0,0,30,1,10
0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,15,0,0,34,8,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,9,4,0,0,2,0,0,61,0,0,1,1,0,8,0,0,0,1,0,11,5,1,0,0,17,19,0,0,15,0,33,4,0,0,20,9,1,0,0,0,10,12,0,0,0,0,0,1,1,0,0,21,4,10
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,20,13,1,0,0,7,17,0,0,2,0,3,4,0,0,0,0,7,0,0,0,7,34,0,0,0,0,0,0,0,0,1,6,25,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7,4,1,0,0,0,0,0,5,0,0,3,0,0,0,2,2,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,26,0,0,0,0,0,0,0,2,0,0,4,0,0,0,15,0,3,16,0,1,0,0,5,0,0,5,0,11,0,0,0,0,0,0,0,0,0,34,13,0
0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,13,0,0,0,23,0,0,8,0,13,0,0,0,47,0,0,0,0,0,0,0,0,0,0,55,0,4
0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,0,1,0,0,1,0,0,2,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,6,2,0,0,0,1,0,4,0,0,0,2,1,0,2,0,0,0,5,0,4,0,2,0,0,27,0,2,4,0,1,8,4,0,0,0,0,2,0,2,0,1,37,0,0,0,0,0,7,1,0,1,5,0,4
0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,7,0,0,1,1,0,0,6,0,0,0,1,0,0,2,3,0,4,0,0,0,0,0,0,1,0,0,0,7,0,0,4,16,0,1,11,0,0,3,0,3,1,0,0,6,1,0,0,0,3,0,1,1,0,0,44,0,14
0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,9,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,32,0,0,50,2,0,0,10,0,26,0,1,0,4,0,0,0,0,2,0,0,9,0,0,20,0,16
0,1,5,7,0,0,0,0,4,2,0,3,0,0,2,21,5,0,0,1,0,0,0,0,0,0,15,0,0,2,8,0,0,0,1,4,0,0,0,0,0,0,26,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,22,0,0,0,1,0,4,0,3,0,0,6,0,1,1,0,0,6,21,0,0,2,2,15,0,0,0,8,5,0,0,0,5,0,5,4,0,2,32,0,4
0,2,0,2,0,0,0,0,0,0,0,21,0,0,0,2,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,2,5,0,0,1,16,3,0,0,0,2,15,0,4,0,0,0,4,4,0,6,47,0,0
0,1,5,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,3,0,0,5,0,0,7,1,0,0,21,1,0,1,0,0,0,14,0,0,0,0,0,0,1,0,9,25,0,5
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,21,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,0,0,0,10,0,0,0,45,0,0,10,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,16,0,0
0,1,0,3,0,4,0,0,6,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,5,0,0,2,0,78,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,2,0,0,1,0,0,18,0,0,0,0,0,0,1,0,0,0,4,1,0,0,19,0,2,29,0,0,0,0,9,0,0,0,18,5,0,0,0,11,0,0,0,0,0,69,0,0
0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,3,0,3,0,0,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,7,0,0,17,0,0,34,0,0,0,0,0,0,0,1,1,0,0,18,0,1,29,1,7,0,0,6,0,0,0,0,11,0,0,0,0,1,0,3,1,0,24,13,4
0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,0,1,4,0,1,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,4,0,0,0,6,0,0,4,0,0,0,2,0,0,12,0,4,0,0,0,9,4,0,0,0,0,0,0,1,0,0,3,0,7
0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,13,11,0,0,0,0,0,0,10,0,2,1,3,0,0,0,2,5,0,0,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,47,0,0,0,7,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,36,0,2
0,0,0,16,0,0,0,0,7,0,0,0,1,0,0,3,12,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,2,0,0,0,2,0,0,0,6,0,1,10,1,0,0,9,17,0,0,0,1,55,0,1,0,0,0,0,2,0,0,17,0,0
0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,3,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,47,3,0,0,5,0,0,0,0,0,14,14,0,0,0,18,0,0,0,0,0,14,0,1
0,0,9,1,0,9,0,0,0,0,0,0,0,0,25,8,9,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,1,1,0,0,0,0,0,0,0,0,0,7,0,0,26,0,0,3,0,0,2,0,3,0,0,34,0,0,0,1,0,1,18,0,1,0,0,10,0,0,0,2,1,0,0,0,0,0,0,2,0,0,15,0,5
